Iteracao;ValorObjetivo;Peso
390;603;581
391;603;601
392;603;530
393;603;586
394;603;607
395;603;596
396;606;565
397;606;622
398;606;562
399;606;581
400;603;583
401;603;611
402;603;559
403;603;606
404;603;567
405;603;585
406;603;590
407;603;567
408;603;657
409;618;606
410;618;581
411;603;610
412;603;563
413;603;569
414;603;610
415;603;629
416;603;548
417;603;581
418;603;599
419;605;635
420;605;600
421;603;581
422;603;552
423;603;591
424;603;635
425;603;578
426;603;603
427;603;623
428;603;591
429;603;629
430;603;594
431;603;559
432;612;611
433;603;589
434;603;598
435;603;548
436;603;565
437;603;597
438;603;601
439;603;597
440;603;614
441;603;602
442;603;608
443;603;597
444;603;631
445;603;554
446;603;554
447;603;600
448;603;582
449;603;599
450;603;582
451;603;587
452;603;608
453;603;582
454;603;602
455;603;606
456;603;621
457;603;566
458;603;601
459;603;591
460;603;605
461;603;548
462;603;601
463;603;548
464;603;598
465;603;570
466;603;625
467;603;548
468;603;548
469;603;586
470;603;548
471;603;581
472;603;548
473;603;579
474;603;560
475;603;629
476;603;619
477;603;606
478;603;548
479;603;631
480;603;558
481;603;570
482;603;572
483;603;662
484;603;580
485;603;548
486;603;548
487;603;612
488;601;548
489;601;548
490;603;573
491;613;548
492;613;578
493;603;580
494;613;548
495;613;548
496;603;557
497;603;584
498;603;553
499;597;569
500;597;610
501;603;548
502;603;589
503;600;590
504;600;548
505;600;573
506;593;608
507;590;578
508;592;599
509;590;576
510;590;560
511;590;588
512;590;566
513;590;568
514;590;576
515;590;579
516;590;557
517;593;553
518;590;612
519;590;555
520;590;556
521;590;560
522;590;565
523;590;596
524;590;548
525;590;559
526;590;570
527;590;637
528;590;578
529;590;571
530;590;573
531;590;624
532;590;589
533;590;617
534;590;612
535;590;596
536;590;546
537;590;552
538;590;612
539;605;578
540;605;617
541;605;619
542;605;624
543;590;526
544;590;603
545;590;595
546;590;548
547;590;557
548;590;605
549;590;569
550;590;614
551;590;621
552;590;581
553;590;604
554;590;600
555;590;588
556;590;553
557;590;644
558;590;594
559;590;572
560;590;568
561;590;572
562;590;578
563;590;548
564;592;609
565;590;581
566;593;600
567;592;548
568;593;570
569;599;582
570;599;581
571;593;548
572;593;556
573;599;629
574;599;575
575;599;559
576;599;548
577;599;558
578;599;631
579;599;548
580;599;559
581;599;579
582;599;610
583;599;605
584;599;581
585;600;491
586;600;578
587;600;559
588;600;583
589;600;531
590;600;554
591;600;575
592;600;597
593;600;572
594;600;582
595;600;522
596;599;566
597;599;550
598;599;541
599;599;550
600;599;559
601;599;573
602;590;583
603;590;522
604;590;592
605;590;520
606;599;601
607;599;564
608;590;551
609;590;552
610;603;556
611;603;548
612;590;573
613;602;572
614;603;566
615;599;550
616;590;596
617;590;548
618;590;522
619;590;574
620;590;540
621;590;584
622;590;537
623;590;579
624;590;598
625;590;584
626;590;570
627;590;548
628;590;568
629;590;522
630;590;567
631;590;565
632;590;599
633;590;550
634;590;620
635;590;625
636;590;548
637;590;585
638;590;584
639;590;578
640;590;577
641;590;548
642;590;596
643;590;595
644;590;579
645;590;584
646;590;576
647;590;621
648;590;609
649;590;555
650;590;591
651;590;565
652;590;604
653;590;635
654;590;580
655;603;574
656;590;611
657;590;549
658;590;586
659;590;597
660;593;602
661;590;558
662;590;575
663;590;588
664;590;568
665;590;595
666;590;569
667;590;658
668;590;575
669;590;594
670;590;580
671;590;575
672;590;643
673;590;575
674;590;597
675;590;624
676;590;596
677;590;548
678;590;620
679;590;574
680;603;558
681;590;631
682;590;594
683;590;582
684;590;599
685;590;575
686;590;652
687;590;562
688;590;572
689;590;602
690;590;528
691;590;575
692;590;639
693;590;557
694;590;537
695;590;627
696;590;536
697;590;631
698;590;624
699;590;552
700;590;586
701;590;578
702;590;612
703;590;619
704;590;612
705;590;645
706;590;536
707;590;585
708;590;613
709;588;580
710;590;589

----------------------------------------

Lucro total: 987
Penalidade total: 369
Valor objetivo: 618
Peso na Mochila:606/775
Tempo (ms): 56702.6
Itens selecionados (por índice):
15 19 23 37 49 84 97 102 104 147 189 197 245 285 310 337 363 376 384 405 411 422 435 456 467 473 497 
