Iteracao;ValorObjetivo;Peso
285;713;629
286;716;655
287;713;629
288;720;579
289;736;634
290;736;634
291;719;669
292;701;616
293;719;648
294;739;647
295;711;596
296;718;639
297;718;639
298;731;608
299;730;614
300;743;628
301;739;611
302;754;642
303;754;642
304;731;630
305;726;619
306;731;630
307;731;632
308;728;654
309;736;669
310;739;647
311;727;610
312;710;609
313;714;637
314;714;637
315;730;622
316;733;651
317;733;651
318;724;626
319;730;622
320;734;602
321;742;617
322;742;617
323;731;623
324;731;623
325;737;619
326;724;645
327;731;632
328;723;645
329;725;670
330;759;666
331;751;651
332;751;651
333;751;651
334;731;632
335;729;604
336;728;594
337;729;604
338;737;620
339;727;640
340;720;579
341;728;694
342;725;612
343;733;622
344;728;594
345;701;633
346;696;700
347;730;632
348;725;612
349;730;622
350;730;632
351;712;662
352;715;636
353;711;582
354;699;649
355;715;640
356;700;597
357;707;597
358;718;614
359;713;648
360;717;651
361;723;621
362;730;622
363;717;651
364;724;614
365;724;616
366;724;616
367;742;627
368;742;627
369;742;627
370;730;644
371;722;607
372;718;650
373;725;633
374;748;623
375;725;655
376;725;655
377;699;652
378;707;704
379;714;690
380;718;648
381;723;641
382;719;654
383;727;631
384;729;625
385;730;622
386;730;644
387;726;587
388;724;654
389;722;629
390;724;638
391;722;607
392;722;607
393;713;630
394;722;655
395;722;607
396;722;607
397;712;599
398;722;607
399;718;630
400;721;632
401;719;639
402;720;696
403;703;619
404;730;604
405;738;641
406;728;660
407;733;593
408;725;617
409;708;609
410;709;723
411;728;696
412;728;696
413;729;679
414;733;669
415;724;602
416;729;623
417;720;580
418;722;638
419;730;622
420;735;631
421;735;631
422;724;639
423;719;595
424;722;629
425;726;624
426;726;624
427;721;618
428;722;629
429;719;631
430;696;577
431;720;592
432;715;605
433;735;659
434;733;632
435;723;637
436;719;604
437;719;578
438;727;593
439;741;648
440;736;630
441;737;615
442;732;628
443;722;618
444;730;632
445;728;675
446;728;675
447;710;580
448;721;598
449;722;607
450;722;607
451;730;610
452;730;610
453;727;616
454;728;582
455;727;616
456;723;626
457;728;602
458;724;592
459;727;616
460;726;602
461;721;620
462;726;620
463;728;637
464;727;616
465;727;616
466;722;608
467;727;638
468;731;611
469;725;588
470;721;600
471;718;605
472;721;609
473;719;612
474;725;588
475;725;588
476;722;619
477;724;614
478;724;611
479;732;619
480;727;616
481;722;619
482;723;627
483;728;622
484;728;622
485;725;588
486;727;613
487;727;613
488;727;616
489;735;621
490;735;621
491;720;595
492;735;632
493;725;589
494;720;620
495;741;666
496;743;611
497;735;619
498;722;619
499;729;639
500;728;610
501;717;608
502;728;630
503;728;630
504;723;638
505;729;625
506;727;616
507;727;616
508;727;638
509;727;616
510;727;616
511;727;616
512;727;616
513;722;607
514;730;610
515;730;610
516;730;610
517;730;587
518;743;664
519;743;664
520;730;630
521;725;614
522;722;597
523;726;611
524;735;619
525;735;619
526;734;613
527;730;599
528;732;633
529;737;646
530;721;622
531;726;670
532;725;670
533;724;679
534;739;643
535;739;643
536;735;653
537;733;629
538;733;629
539;742;614
540;742;614
541;719;597
542;720;650
543;717;586
544;717;586
545;742;614
546;727;623
547;719;600
548;708;572
549;727;639
550;714;597
551;713;643
552;727;638
553;707;572
554;708;637
555;725;587
556;718;604
557;729;613
558;734;627
559;734;627
560;741;648
561;719;639
562;733;631
563;739;650
564;712;599
565;722;671
566;725;613
567;713;599
568;723;653
569;725;614
570;720;639
571;723;629
572;719;624
573;734;645
574;734;645
575;734;645
576;724;667
577;701;607
578;722;623
579;726;698
580;730;692
581;731;653
582;736;703
583;726;603
584;726;603
585;735;627
586;739;637
587;731;597
588;733;672
589;736;622
590;745;612
591;736;669
592;734;606
593;729;676
594;729;676
595;724;608
596;735;630
597;729;605
598;728;601
599;721;636
600;738;642
601;722;605
602;714;615
603;732;665
604;732;665
605;712;671
606;717;703
607;728;624
608;734;606
609;730;608
610;735;643
611;746;630
612;736;623
613;765;730
614;728;625
615;735;690
616;734;615
617;727;639
618;741;653
619;741;653
620;741;653
621;730;656
622;718;670
623;727;633
624;749;622
625;749;622
626;733;655
627;734;603
628;726;576
629;711;639
630;708;629
631;707;665
632;722;610
633;712;556
634;721;599
635;703;559
636;720;653
637;718;626
638;728;594
639;719;612
640;729;662
641;736;613
642;736;613
643;727;601
644;713;583
645;720;654
646;724;644
647;724;644
648;724;644
649;720;591
650;721;624
651;720;591
652;720;580
653;719;630
654;726;600
655;720;591
656;722;628
657;756;637
658;756;637
659;738;622
660;726;596
661;717;600
662;711;611
663;723;646
664;715;583
665;721;603
666;721;603
667;719;685
668;727;648
669;721;634
670;704;598
671;718;635
672;713;608
673;717;599
674;709;610
675;719;595
676;710;616
677;696;671
678;712;601
679;700;585
680;713;638
681;697;578
682;708;603
683;714;595
684;715;665
685;715;622
686;709;633
687;721;600
688;728;594
689;718;626
690;704;609
691;715;582
692;709;630
693;704;596
694;709;622
695;720;615
696;720;615
697;709;586
698;714;641
699;714;583
700;727;630
701;720;620
702;734;606
703;720;620
704;725;635
705;724;624
706;720;595
707;723;621
708;721;646
709;753;652
710;732;577
711;732;577
712;731;602
713;731;602
714;726;619
715;740;631
716;740;631
717;740;631
718;740;631
719;740;631
720;731;632
721;742;653
722;732;622
723;746;612
724;724;574
725;726;633
726;760;660
727;732;697
728;746;645
729;734;606
730;719;673
731;719;673
732;739;609
733;740;671
734;746;645
735;746;645
736;723;580
737;738;593
738;721;620
739;731;623
740;739;615
741;731;623
742;731;623
743;724;638
744;730;628
745;728;666
746;738;653
747;727;620
748;727;583
749;734;637
750;730;617
751;728;598
752;741;625
753;718;562
754;730;596
755;725;707
756;721;642
757;722;632
758;737;612
759;743;627
760;737;659
761;743;597
762;747;623
763;733;590
764;729;584
765;717;661
766;719;628
767;733;590
768;721;666
769;726;600
770;728;581
771;727;636
772;737;604
773;737;604
774;736;620
775;727;636
776;738;620
777;737;612
778;756;622
779;756;622
780;726;600
781;732;620
782;720;617
783;716;586
784;741;636
785;741;636
786;741;636
787;733;630
788;740;585
789;733;630
790;730;601
791;733;630
792;746;674
793;740;651
794;741;636
795;735;659
796;733;659
797;731;640
798;736;586
799;736;586
800;739;630
801;743;687
802;743;616
803;737;668
804;730;601
805;730;601
806;728;634
807;747;630
808;735;614
809;743;598
810;743;627
811;737;627
812;743;616
813;743;616
814;744;613
815;744;613
816;744;613
817;749;638
818;749;638
819;753;630
820;753;630
821;750;637
822;753;630
823;743;615
824;762;653
825;758;629
826;748;622
827;745;630
828;751;645
829;745;630
830;751;645
831;746;645
832;742;592
833;747;645
834;741;624
835;741;624
836;746;645
837;746;645
838;755;637
839;762;626
840;762;626
841;762;626
842;750;619
843;744;701
844;750;616
845;755;637
846;753;611
847;743;624
848;747;633
849;738;611
850;744;613
851;746;645
852;749;681
853;750;608
854;750;601
855;748;675
856;762;647
857;758;629
858;758;629
859;737;663
860;750;610
861;750;639
862;762;654
863;760;637
864;757;632
865;757;631
866;757;632
867;740;648
868;725;600
869;732;616
870;732;616
871;755;651
872;763;656
873;750;643
874;756;656
875;756;656
876;756;656
877;757;637
878;763;652
879;757;637
880;757;637
881;751;623
882;756;622
883;741;657
884;748;672
885;746;645
886;744;613
887;747;683
888;732;646
889;755;637
890;749;622
891;750;628
892;755;637
893;735;632
894;753;655
895;753;655
896;754;646
897;757;638
898;757;638
899;757;638
900;757;638
901;755;666
902;749;622
903;749;651
904;755;638
905;735;637
906;740;642
907;744;616
908;742;642
909;749;651
910;757;640
911;747;680
912;735;631
913;755;638
914;750;616
915;751;667
916;750;628
917;758;638
918;748;607
919;749;622
920;749;622
921;754;671
922;749;667
923;770;655
924;744;613
925;749;622
926;735;652
927;751;631
928;749;641
929;752;623
930;746;653
931;760;638
932;760;638
933;754;636
934;753;667
935;753;608
936;758;656
937;749;671
938;752;623
939;754;636
940;760;651
941;760;651
942;759;622
943;744;613
944;737;583
945;738;578
946;742;611
947;752;631
948;737;583
949;744;649
950;750;646
951;750;646
952;741;605
953;734;584
954;734;584
955;747;634
956;747;634
957;763;606
958;763;606
959;763;606
960;752;665
961;745;634
962;726;577
963;730;601
964;730;601
965;730;601
966;743;608
967;742;631
968;752;623
969;752;632
970;744;613
971;752;632
972;741;647
973;752;632
974;741;647
975;738;627
976;738;602
977;731;631
978;737;583
979;737;583
980;741;637
981;737;583
982;758;576
983;738;569
984;737;583
985;743;599
986;735;614
987;730;612
988;745;638
989;749;565
990;734;595
991;750;602
992;740;645
993;750;602
994;748;608
995;748;608
996;756;627
997;756;602
998;725;607
999;736;630
1000;721;659
1001;746;615
1002;747;590
1003;748;607
1004;737;583
1005;750;627
1006;750;627
1007;754;639
1008;751;621
1009;749;624
1010;749;620
1011;745;602
1012;743;598
1013;743;599
1014;745;602
1015;747;590
1016;757;614
1017;757;614
1018;751;614
1019;748;608
1020;761;617
1021;753;608
1022;737;583
1023;738;640
1024;738;640
1025;738;640
1026;752;639
1027;740;635
1028;748;680
1029;748;680
1030;748;680
1031;763;606
1032;748;611
1033;753;620
1034;752;639
1035;737;608
1036;767;629
1037;767;629
1038;762;645
1039;737;617
1040;737;617
1041;746;694
1042;759;655
1043;759;655
1044;756;617
1045;745;689
1046;735;612
1047;739;608
1048;751;676
1049;758;626
1050;758;626
1051;729;624
1052;753;625
1053;777;656
1054;739;605
1055;742;682
1056;742;682
1057;749;643
1058;775;647
1059;751;603
1060;751;603
1061;751;603
1062;771;631
1063;741;632
1064;744;613
1065;744;613
1066;742;592
1067;748;608
1068;748;608
1069;752;617
1070;755;627
1071;744;605
1072;755;627
1073;738;608
1074;747;599
1075;774;663
1076;756;615
1077;756;615
1078;738;609
1079;752;599
1080;756;640
1081;742;592
1082;748;616
1083;742;625
1084;748;608
1085;744;633
1086;742;607
1087;742;592
1088;732;623
1089;731;630
1090;718;629
1091;737;583
1092;742;613
1093;739;582
1094;729;600
1095;726;632
1096;731;641
1097;745;624
1098;745;624
1099;745;624
1100;721;602
1101;727;658
1102;726;655
1103;723;583
1104;712;599
1105;722;624
1106;735;641
1107;735;648
1108;735;648
1109;748;617
1110;749;602
1111;750;629
1112;745;623
1113;762;631
1114;762;631
1115;762;631
1116;756;615
1117;738;569
1118;760;663
1119;745;598
1120;743;599
1121;770;648
1122;770;648
1123;752;657
1124;770;648
1125;746;625
1126;748;607
1127;751;613
1128;750;598
1129;740;632
1130;732;578
1131;747;618
1132;743;631
1133;733;616
1134;733;641
1135;745;607
1136;736;614
1137;739;616
1138;763;606
1139;742;592
1140;740;619
1141;750;656
1142;741;605
1143;734;630
1144;735;610
1145;737;598
1146;718;635
1147;724;641
1148;746;614
1149;737;607
1150;739;608
1151;751;592
1152;746;635
1153;737;583
1154;737;583
1155;735;616
1156;743;578
1157;754;609
1158;746;614
1159;755;632
1160;745;571
1161;750;607
1162;758;620
1163;758;620
1164;757;636
1165;750;638
1166;750;638
1167;754;629
1168;749;620
1169;771;621
1170;771;621
1171;742;592
1172;742;592
1173;742;592
1174;742;592
1175;724;550
1176;737;562
1177;750;571
1178;737;562
1179;751;694
1180;741;584
1181;744;590
1182;743;646
1183;737;562
1184;750;601
1185;748;617
1186;738;576
1187;744;592
1188;739;603
1189;758;576
1190;763;646
1191;763;646
1192;741;659
1193;732;622
1194;754;675
1195;743;605
1196;732;638
1197;750;629
1198;743;605
1199;748;628
1200;731;578
1201;738;672
1202;731;578
1203;742;624
1204;755;590
1205;730;566
1206;743;578
1207;740;605
1208;740;605
1209;742;603
1210;762;631
1211;722;564
1212;740;588
1213;739;606
1214;738;582
1215;738;582
1216;745;629
1217;749;620
1218;750;615
1219;746;618
1220;749;590
1221;755;645
1222;755;645
1223;755;645
1224;751;634
1225;751;634
1226;764;602
1227;775;632
1228;750;604
1229;749;590
1230;736;627
1231;750;615
1232;773;602
1233;739;626
1234;739;592
1235;750;616
1236;734;607
1237;744;640
1238;761;602
1239;756;593
1240;756;593
1241;754;599
1242;748;606
1243;749;617
1244;730;624
1245;742;619
1246;763;618
1247;763;618
1248;750;591
1249;760;625
1250;741;594
1251;749;571
1252;752;641
1253;765;691
1254;743;710
1255;759;663
1256;753;590
1257;750;639
1258;741;592
1259;730;672
1260;766;598
1261;759;629
1262;748;648
1263;757;647
1264;757;647
1265;749;565
1266;766;637
1267;757;592
1268;774;625
1269;775;588
1270;778;622
1271;769;622
1272;769;622
1273;769;622
1274;769;622
1275;758;628
1276;751;623
1277;754;619
1278;749;565
1279;756;605
1280;750;591
1281;777;645
1282;765;642
1283;761;647
1284;777;625
1285;785;646
1286;788;635
1287;795;666
1288;785;610
1289;795;666
1290;778;654
1291;791;607
1292;772;629
1293;769;660
1294;766;598
1295;802;675
1296;786;613
1297;786;613
1298;778;594
1299;778;594
1300;778;594
1301;778;594
1302;799;623
1303;784;632
1304;766;672
1305;782;641
1306;782;641
1307;782;624
1308;775;588
1309;792;653
1310;792;653
1311;772;640
1312;772;620
1313;789;613
1314;773;587
1315;805;713
1316;783;642
1317;778;618
1318;783;650
1319;810;631
1320;810;631
1321;804;664
1322;763;618
1323;803;651
1324;775;662
1325;787;650
1326;774;644
1327;788;614
1328;812;636
1329;800;665
1330;811;648
1331;781;639
1332;807;625
1333;777;593
1334;802;616
1335;791;607
1336;798;664
1337;768;652
1338;788;606
1339;781;602
1340;780;627
1341;782;627
1342;782;627
1343;784;596
1344;785;645
1345;784;596
1346;781;603
1347;776;627
1348;776;627
1349;791;607
1350;785;616
1351;794;634
1352;791;607
1353;795;649
1354;781;602
1355;820;651
1356;820;651
1357;808;654
1358;784;651
1359;778;619
1360;789;650
1361;781;659
1362;785;616
1363;785;625
1364;797;622
1365;779;617
1366;779;617
1367;768;651
1368;796;647
1369;796;647
1370;780;681
1371;793;650
1372;790;651
1373;781;678
1374;777;625
1375;799;622
1376;777;660
1377;777;660
1378;773;602
1379;780;604
1380;778;594
1381;812;665
1382;776;645
1383;774;631
1384;768;596
1385;766;665
1386;773;587
1387;790;602
1388;790;602
1389;765;584
1390;768;615
1391;769;621
1392;766;614
1393;765;598
1394;784;596
1395;775;664
1396;769;646
1397;783;667
1398;784;614
1399;769;605
1400;758;591
1401;757;606
1402;767;608
1403;765;584
1404;759;634
1405;781;602
1406;779;607
1407;784;596
1408;773;619
1409;770;618
1410;788;626
1411;772;597
1412;779;607
1413;777;600
1414;790;623
1415;790;623
1416;775;613
1417;781;602
1418;779;607
1419;771;652
1420;760;581
1421;771;604
1422;773;587
1423;769;585
1424;775;613
1425;765;618
1426;774;606
1427;764;600
1428;776;593
1429;776;593
1430;770;636
1431;751;631
1432;774;602
1433;774;602
1434;766;631
1435;782;633
1436;788;635
1437;787;612
1438;787;612
1439;787;612
1440;777;639
1441;777;608
1442;777;608
1443;779;637
1444;768;608
1445;773;587
1446;774;630
1447;757;632
1448;772;638
1449;755;596
1450;776;612
1451;756;660
1452;759;616
1453;751;577
1454;777;640
1455;791;607
1456;799;610
1457;763;635
1458;775;588
1459;765;584
1460;765;584
1461;775;651
1462;779;634
1463;775;613
1464;799;610
1465;765;584
1466;768;638
1467;765;584
1468;776;611
1469;775;613
1470;776;611
1471;757;608
1472;783;616
1473;783;616
1474;783;616
1475;773;634
1476;773;634
1477;775;651
1478;777;640
1479;777;600
1480;783;616
1481;768;637
1482;783;616
1483;789;666
1484;778;604
1485;780;616
1486;764;616
1487;786;613
1488;786;613
1489;784;631
1490;784;631
1491;784;631
1492;792;627
1493;780;630
1494;778;629
1495;787;630
1496;787;630
1497;773;660
1498;769;610
1499;768;635
1500;760;602
1501;761;619
1502;776;611
1503;776;611
1504;775;617
1505;777;626
1506;784;631
1507;767;626
1508;767;633
1509;784;630
1510;766;624
1511;754;589
1512;757;632
1513;748;610
1514;765;632
1515;762;624
1516;771;630
1517;755;585
1518;799;610
1519;799;610
1520;786;650
1521;786;650
1522;792;619
1523;770;622
1524;783;650
1525;783;650
1526;783;650
1527;783;650
1528;783;650
1529;783;650
1530;790;641
1531;790;641
1532;782;662
1533;768;686
1534;784;616
1535;779;596
1536;791;607
1537;784;638
1538;784;616
1539;784;616
1540;779;667
1541;789;626
1542;787;621
1543;777;653
1544;779;640
1545;798;661
1546;798;661
1547;805;652
1548;800;634
1549;807;625
1550;798;661
1551;799;690
1552;798;661
1553;807;649
1554;780;624
1555;778;596
1556;800;635
1557;800;635
1558;800;635
1559;800;635
1560;797;649
1561;797;649
1562;797;649
1563;786;611
1564;797;637
1565;792;619
1566;792;631
1567;790;635
1568;793;656
1569;793;656
1570;778;596
1571;770;639
1572;782;624
1573;782;598
1574;784;616
1575;784;616
1576;799;610
1577;784;616
1578;789;667
1579;799;622
1580;784;616
1581;784;616
1582;780;612
1583;792;640
1584;792;631
1585;781;644
1586;781;636
1587;782;598
1588;785;621
1589;789;631
1590;795;654
1591;800;634
1592;797;634
1593;788;654
1594;798;661
1595;795;654
1596;793;677
1597;788;639
1598;798;631
1599;800;634
1600;800;634
1601;811;638
1602;786;611
1603;796;645
1604;800;634
1605;807;625
1606;790;648
1607;796;652
1608;791;662
1609;807;625
1610;807;625
1611;807;625
1612;795;632
1613;773;599
1614;793;651
1615;781;630
1616;777;628
1617;781;663
1618;747;641
1619;776;639
1620;779;607
1621;783;648
1622;793;640
1623;793;640
1624;807;625
1625;807;625
1626;807;625
1627;807;625
1628;807;625
1629;793;635
1630;782;663
1631;762;635
1632;771;644
1633;779;651
1634;789;645
1635;794;630
1636;794;630
1637;792;619
1638;795;654
1639;791;672
1640;797;626
1641;792;619
1642;792;631
1643;802;645
1644;802;645
1645;802;645
1646;802;645
1647;802;645
1648;781;653
1649;800;634
1650;797;667
1651;790;658
1652;802;645
1653;792;631
1654;798;643
1655;798;643
1656;798;643
1657;786;647
1658;777;625
1659;785;649
1660;784;674
1661;808;655
1662;780;655
1663;802;645
1664;796;647
1665;796;647
1666;800;672
1667;800;672
1668;800;672
1669;794;630
1670;779;638
1671;780;625
1672;806;644
1673;786;611
1674;774;665
1675;795;683
1676;792;686
1677;779;629
1678;785;641
1679;785;641
1680;773;679
1681;778;648
1682;779;607
1683;773;587
1684;784;616
1685;787;622
1686;779;629
1687;784;627
1688;790;650
1689;790;650
1690;784;616
1691;795;647
1692;783;665
1693;783;645
1694;779;607
1695;762;627
1696;763;649
1697;784;616
1698;792;631
1699;786;611
1700;777;635
1701;770;641
1702;770;641
1703;793;645
1704;768;643
1705;779;607
1706;792;631
1707;785;641
1708;800;634
1709;759;635
1710;780;632
1711;793;645
1712;787;646
1713;776;633
1714;781;638
1715;782;631
1716;784;616
1717;789;623
1718;789;623
1719;785;630
1720;785;630
1721;784;616
1722;778;614
1723;793;632
1724;784;616
1725;778;596
1726;781;638
1727;780;621
1728;774;623
1729;778;596
1730;784;616
1731;782;627
1732;787;622
1733;788;629
1734;784;616
1735;799;610
1736;784;616
1737;788;629
1738;778;639
1739;797;669
1740;791;649
1741;791;649
1742;791;649
1743;787;622
1744;797;669
1745;787;596
1746;787;596
1747;785;628
1748;787;622
1749;787;622
1750;787;622
1751;784;616
1752;800;635
1753;785;656
1754;774;626
1755;779;607
1756;790;624
1757;781;650
1758;789;654
1759;779;607
1760;773;604
1761;788;627
1762;776;630
1763;794;630
1764;782;655
1765;794;660
1766;764;674
1767;780;638
1768;783;628
1769;793;649
1770;798;650
1771;798;650
1772;798;650
1773;798;650
1774;802;645
1775;804;653
1776;788;673
1777;787;625
1778;796;635
1779;796;635
1780;796;635
1781;809;633
1782;802;645
1783;802;645
1784;800;640
1785;784;616
1786;791;635
1787;796;671
1788;787;622
1789;789;675
1790;789;675
1791;789;675
1792;780;621
1793;776;669
1794;777;654
1795;786;664
1796;782;643
1797;769;654
1798;777;600
1799;779;669
1800;780;653
1801;788;642
1802;796;623
1803;797;669
1804;797;626
1805;788;659
1806;791;657
1807;804;677
1808;796;674
1809;797;660
1810;797;660
1811;797;660
1812;774;680
1813;789;650
1814;793;632
1815;788;664
1816;798;641
1817;794;630
1818;794;630
1819;806;644
1820;794;630
1821;794;630
1822;779;607
1823;794;642
1824;780;634
1825;799;637
1826;778;659
1827;776;638
1828;794;642
1829;788;651
1830;786;652
1831;784;647
1832;786;652
1833;778;649
1834;764;677
1835;762;626
1836;790;648
1837;787;622
1838;780;656
1839;777;630
1840;792;654
1841;777;630
1842;787;622
1843;804;617
1844;786;647
1845;800;654
1846;798;663
1847;795;654
1848;786;627
1849;784;614
1850;784;614
1851;780;639
1852;785;633
1853;787;622
1854;783;640
1855;787;644
1856;788;669
1857;784;614
1858;799;637
1859;794;630
1860;802;645
1861;792;631
1862;779;607
1863;779;619
1864;792;619
1865;799;610
1866;799;610
1867;799;610
1868;787;622
1869;794;630
1870;799;637
1871;799;637
1872;804;617
1873;773;649
1874;772;624
1875;772;624
1876;802;645
1877;780;637
1878;786;629
1879;781;672
1880;796;666
1881;803;649
1882;798;668
1883;791;636
1884;787;622
1885;793;639
1886;784;654
1887;802;645
1888;792;650
1889;790;631
1890;790;631
1891;792;654
1892;807;625
1893;795;654
1894;802;645
1895;797;667
1896;803;660
1897;785;652
1898;798;643
1899;807;625
1900;807;625
1901;807;625
1902;802;645
1903;802;645
1904;802;645
1905;802;645
1906;787;596
1907;797;648
1908;800;627
1909;795;650
1910;795;611
1911;807;625
1912;807;625
1913;795;649
1914;807;625
1915;799;610
1916;808;650
1917;802;649
1918;799;610
1919;799;639
1920;799;610
1921;799;610
1922;803;633
1923;803;633
1924;803;633
1925;811;638
1926;811;638
1927;811;638
1928;811;638
1929;811;638
1930;766;658
1931;785;640
1932;795;632
1933;799;610
1934;790;613
1935;790;613
1936;790;642
1937;791;609
1938;783;627
1939;800;627
1940;787;596
1941;790;631
1942;807;625
1943;805;634
1944;805;634
1945;805;634
1946;805;634
1947;803;632
1948;803;632
1949;803;632
1950;799;610
1951;791;618
1952;783;638
1953;781;674
1954;811;647
1955;811;647
1956;793;653
1957;799;610
1958;799;610
1959;792;648
1960;782;598
1961;792;631
1962;791;642
1963;791;642
1964;789;618
1965;789;618
1966;789;618
1967;798;639
1968;807;625
1969;807;625
1970;800;625
1971;799;610
1972;799;610
1973;799;610
1974;791;618
1975;785;618
1976;790;635
1977;789;654
1978;795;628
1979;773;646
1980;790;667
1981;799;610
1982;767;676
1983;784;662
1984;807;649
1985;784;662
1986;775;633
1987;775;633
1988;787;639
1989;787;639
1990;795;625
1991;800;658
1992;799;610
1993;799;610
1994;799;610
1995;791;624
1996;799;610
1997;799;610
1998;795;628
1999;807;625
2000;799;610
2001;769;648
2002;775;628
2003;775;628
2004;799;610
2005;800;627
2006;789;643
2007;784;656
2008;783;623
2009;792;664
2010;764;624
2011;797;633
2012;807;625
2013;807;625
2014;783;623
2015;799;610
2016;795;628
2017;799;610
2018;789;625
2019;798;650
2020;799;610
2021;784;640
2022;788;671
2023;805;620
2024;776;617
2025;772;635
2026;792;650
2027;788;642
2028;800;639
2029;804;657
2030;784;640
2031;795;628
2032;795;628
2033;793;645
2034;786;612
2035;800;635
2036;800;635
2037;793;645
2038;781;628
2039;791;607
2040;799;660
2041;785;635
2042;803;623
2043;799;610
2044;799;610
2045;799;610
2046;804;640
2047;799;610
2048;799;610
2049;804;617
2050;804;617
2051;798;635
2052;804;617
2053;798;635
2054;799;610
2055;799;610
2056;799;610
2057;799;610
2058;799;610
2059;784;635
2060;800;627
2061;799;610
2062;783;638
2063;792;624
2064;801;642
2065;801;642
2066;801;642
2067;801;642
2068;799;610
2069;804;617
2070;807;671
2071;801;656
2072;803;632
2073;799;610
2074;801;642
2075;800;627
2076;791;648
2077;791;648
2078;799;610
2079;799;610
2080;799;610
2081;800;627
2082;800;627
2083;799;610
2084;800;627
2085;801;642
2086;799;610
2087;801;642
2088;799;610
2089;799;610
2090;800;627
2091;804;617
2092;800;625
2093;800;625
2094;800;625
2095;799;610
2096;799;610
2097;789;655
2098;799;610
2099;800;627
2100;799;610
2101;799;610
2102;799;610
2103;799;610
2104;799;610
2105;801;613
2106;805;620
2107;805;632
2108;791;607
2109;788;626
2110;791;659
2111;796;650
2112;794;630
2113;797;617
2114;797;617
2115;795;647
2116;800;627
2117;800;627
2118;800;627
2119;801;642
2120;799;610
2121;799;610
2122;795;633
2123;812;677
2124;812;677
2125;804;674
2126;784;656
2127;799;610
2128;795;647
2129;775;646
2130;800;627
2131;811;658
2132;799;610
2133;802;644
2134;802;644
2135;799;610
2136;789;652
2137;788;626
